fighter,lore,cluster,fighting_style
COLE MILLER,"Hailing from a small town, COLE MILLER grew up competing in underground circuits before making it to the big stage. COLE MILLER brings a high-volume striking attack to every fight, throwing over 8.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
CONOR MCGREGOR,"From humble origins, CONOR MCGREGOR earned every opportunity on their journey to the UFC. In the octagon, CONOR MCGREGOR is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 16.1 significant strikes per minute with deadly accuracy.",4,
CONSTANTINOS PHILIPPOU,"Hailing from a small town, CONSTANTINOS PHILIPPOU grew up competing in underground circuits before making it to the big stage. CONSTANTINOS PHILIPPOU brings a high-volume striking attack to every fight, throwing over 6.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
COREY ANDERSON,"Born in the tough streets of their homeland, COREY ANDERSON discovered fighting as an escape from adversity. COREY ANDERSON brings a high-volume striking attack to every fight, throwing over 13.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
CORTNEY CASEY,"Hailing from a small town, CORTNEY CASEY grew up competing in underground circuits before making it to the big stage. CORTNEY CASEY brings a high-volume striking attack to every fight, throwing over 11.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
CORY MCKENNA,"With roots in their homeland, CORY MCKENNA defied expectations to become a force in the octagon. CORY MCKENNA brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
CORY SANDHAGEN,"Hailing from a small town, CORY SANDHAGEN grew up competing in underground circuits before making it to the big stage. CORY SANDHAGEN brings a high-volume striking attack to every fight, throwing over 20.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
COURT MCGEE,"From humble origins, COURT MCGEE earned every opportunity on their journey to the UFC. COURT MCGEE brings a high-volume striking attack to every fight, throwing over 13.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
CRISTIANE JUSTINO,"From humble origins, CRISTIANE JUSTINO earned every opportunity on their journey to the UFC. As a versatile fighter, CRISTIANE JUSTINO maintains constant pressure with over 21.8 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
CUB SWANSON,"Born in the tough streets of their homeland, CUB SWANSON discovered fighting as an escape from adversity. As a versatile fighter, CUB SWANSON maintains constant pressure with over 15.1 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
CURTIS BLAYDES,"Born in the tough streets of their homeland, CURTIS BLAYDES discovered fighting as an escape from adversity. CURTIS BLAYDES brings a high-volume striking attack to every fight, throwing over 18.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
CURTIS MILLENDER,"Born in the tough streets of their homeland, CURTIS MILLENDER discovered fighting as an escape from adversity. CURTIS MILLENDER brings a high-volume striking attack to every fight, throwing over 9.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
CYNTHIA CALVILLO,"From humble origins, CYNTHIA CALVILLO earned every opportunity on their journey to the UFC. CYNTHIA CALVILLO brings a high-volume striking attack to every fight, throwing over 11.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
CYRIL ASKER,"From humble origins, CYRIL ASKER earned every opportunity on their journey to the UFC. CYRIL ASKER brings a high-volume striking attack to every fight, throwing over 4.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
CYRILLE DIABATE,"From humble origins, CYRILLE DIABATE earned every opportunity on their journey to the UFC. As a versatile fighter, CYRILLE DIABATE maintains constant pressure with over 7.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
DA WOON JUNG,"From humble origins, DA WOON JUNG earned every opportunity on their journey to the UFC. DA WOON JUNG brings a high-volume striking attack to every fight, throwing over 10.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DA'MON BLACKSHEAR,"Born in the tough streets of their homeland, DA'MON BLACKSHEAR discovered fighting as an escape from adversity. As a versatile fighter, DA'MON BLACKSHEAR maintains constant pressure with over 10.4 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
DALCHA LUNGIAMBULA,"From humble origins, DALCHA LUNGIAMBULA earned every opportunity on their journey to the UFC. DALCHA LUNGIAMBULA brings a high-volume striking attack to every fight, throwing over 16.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DAMARQUES JOHNSON,"Hailing from a small town, DAMARQUES JOHNSON grew up competing in underground circuits before making it to the big stage. DAMARQUES JOHNSON brings a high-volume striking attack to every fight, throwing over 5.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DAMIAN STASIAK,"From humble origins, DAMIAN STASIAK earned every opportunity on their journey to the UFC. DAMIAN STASIAK brings a high-volume striking attack to every fight, throwing over 5.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DAMIEN BROWN,"With roots in their homeland, DAMIEN BROWN defied expectations to become a force in the octagon. DAMIEN BROWN brings a high-volume striking attack to every fight, throwing over 9.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DAMIR HADZOVIC,"Born in the tough streets of their homeland, DAMIR HADZOVIC discovered fighting as an escape from adversity. DAMIR HADZOVIC brings a high-volume striking attack to every fight, throwing over 22.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
DAMIR ISMAGULOV,"With roots in their homeland, DAMIR ISMAGULOV defied expectations to become a force in the octagon. DAMIR ISMAGULOV brings a high-volume striking attack to every fight, throwing over 10.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DAMON JACKSON,"Born in the tough streets of their homeland, DAMON JACKSON discovered fighting as an escape from adversity. DAMON JACKSON brings a high-volume striking attack to every fight, throwing over 8.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DAN HARDY,"Born in the tough streets of their homeland, DAN HARDY discovered fighting as an escape from adversity. DAN HARDY brings a high-volume striking attack to every fight, throwing over 6.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DAN HENDERSON,"With roots in their homeland, DAN HENDERSON defied expectations to become a force in the octagon. DAN HENDERSON brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DAN HOOKER,"Hailing from a small town, DAN HOOKER grew up competing in underground circuits before making it to the big stage. DAN HOOKER brings a high-volume striking attack to every fight, throwing over 13.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DAN IGE,"From humble origins, DAN IGE earned every opportunity on their journey to the UFC. DAN IGE brings a high-volume striking attack to every fight, throwing over 11.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DAN MILLER,"From humble origins, DAN MILLER earned every opportunity on their journey to the UFC. DAN MILLER brings a high-volume striking attack to every fight, throwing over 5.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DAN SEVERN,"Hailing from a small town, DAN SEVERN grew up competing in underground circuits before making it to the big stage. A versatile fighter with strong grappling fundamentals, DAN SEVERN uses takedowns with 58% accuracy to bring fights to the mat, where they control the action and hunt for submissions.",1,
DANIEL CORMIER,"From humble origins, DANIEL CORMIER earned every opportunity on their journey to the UFC. In the octagon, DANIEL CORMIER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 15.2 significant strikes per minute with deadly accuracy.",1,
DANIEL KELLY,"Hailing from a small town, DANIEL KELLY grew up competing in underground circuits before making it to the big stage. DANIEL KELLY brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DANIEL LACERDA,"Born in the tough streets of their homeland, DANIEL LACERDA discovered fighting as an escape from adversity. As a versatile fighter, DANIEL LACERDA maintains constant pressure with over 9.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
DANIEL OMIELANCZUK,"Hailing from a small town, DANIEL OMIELANCZUK grew up competing in underground circuits before making it to the big stage. As a versatile fighter, DANIEL OMIELANCZUK maintains constant pressure with over 14.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
DANIEL PINEDA,"Hailing from a small town, DANIEL PINEDA grew up competing in underground circuits before making it to the big stage. In the octagon, DANIEL PINEDA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 7.5 significant strikes per minute with deadly accuracy.",1,
DANIEL ROBERTS,"From humble origins, DANIEL ROBERTS earned every opportunity on their journey to the UFC. DANIEL ROBERTS excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 51% control time and 51% takedown accuracy, suffocating opponents with pressure and technique.",8,
DANIEL RODRIGUEZ,"With roots in their homeland, DANIEL RODRIGUEZ defied expectations to become a force in the octagon. DANIEL RODRIGUEZ brings a high-volume striking attack to every fight, throwing over 18.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DANIEL SARAFIAN,"Hailing from a small town, DANIEL SARAFIAN grew up competing in underground circuits before making it to the big stage. As a versatile fighter, DANIEL SARAFIAN maintains constant pressure with over 6.6 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",4,
DANIEL TEYMUR,"With roots in their homeland, DANIEL TEYMUR defied expectations to become a force in the octagon. DANIEL TEYMUR brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DANIEL ZELLHUBER,"From humble origins, DANIEL ZELLHUBER earned every opportunity on their journey to the UFC. DANIEL ZELLHUBER brings a high-volume striking attack to every fight, throwing over 16.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DANIELLE TAYLOR,"Hailing from a small town, DANIELLE TAYLOR grew up competing in underground circuits before making it to the big stage. DANIELLE TAYLOR brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DANNY CASTILLO,"Born in the tough streets of their homeland, DANNY CASTILLO discovered fighting as an escape from adversity. DANNY CASTILLO brings a high-volume striking attack to every fight, throwing over 11.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DANNY ROBERTS,"Born in the tough streets of their homeland, DANNY ROBERTS discovered fighting as an escape from adversity. DANNY ROBERTS brings a high-volume striking attack to every fight, throwing over 6.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DARON CRUICKSHANK,"Hailing from a small town, DARON CRUICKSHANK grew up competing in underground circuits before making it to the big stage. DARON CRUICKSHANK brings a high-volume striking attack to every fight, throwing over 7.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DARREN ELKINS,"With roots in their homeland, DARREN ELKINS defied expectations to become a force in the octagon. DARREN ELKINS brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DARREN STEWART,"With roots in their homeland, DARREN STEWART defied expectations to become a force in the octagon. DARREN STEWART brings a high-volume striking attack to every fight, throwing over 8.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DARREN TILL,"From humble origins, DARREN TILL earned every opportunity on their journey to the UFC. DARREN TILL brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DARRICK MINNER,"Born in the tough streets of their homeland, DARRICK MINNER discovered fighting as an escape from adversity. As a versatile fighter, DARRICK MINNER maintains constant pressure with over 7.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",1,
DAVE BENETEAU,"From humble origins, DAVE BENETEAU earned every opportunity on their journey to the UFC. DAVE BENETEAU brings a high-volume striking attack to every fight, throwing over 8.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
DAVE HERMAN,"With roots in their homeland, DAVE HERMAN defied expectations to become a force in the octagon. DAVE HERMAN fights as a versatile fighter with a devastating body attack, systematically breaking down opponents with over 9.4 strikes per minute, targeting the body with surgical precision.",7,
DAVE MENNE,"Born in the tough streets of their homeland, DAVE MENNE discovered fighting as an escape from adversity. DAVE MENNE brings a high-volume striking attack to every fight, throwing over 8.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DAVEY GRANT,"Born in the tough streets of their homeland, DAVEY GRANT discovered fighting as an escape from adversity. DAVEY GRANT brings a high-volume striking attack to every fight, throwing over 21.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",9,
DAVI RAMOS,"From humble origins, DAVI RAMOS earned every opportunity on their journey to the UFC. DAVI RAMOS brings a high-volume striking attack to every fight, throwing over 13.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DAVID ABBOTT,"From humble origins, DAVID ABBOTT earned every opportunity on their journey to the UFC. DAVID ABBOTT brings a high-volume striking attack to every fight, throwing over 5.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
DAVID BRANCH,"Born in the tough streets of their homeland, DAVID BRANCH discovered fighting as an escape from adversity. DAVID BRANCH brings a high-volume striking attack to every fight, throwing over 5.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DAVID DVORAK,"From humble origins, DAVID DVORAK earned every opportunity on their journey to the UFC. DAVID DVORAK brings a high-volume striking attack to every fight, throwing over 9.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DAVID HEATH,"From humble origins, DAVID HEATH earned every opportunity on their journey to the UFC. DAVID HEATH excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 32% control time and 50% takedown accuracy, suffocating opponents with pressure and technique.",2,
DAVID LOISEAU,"Born in the tough streets of their homeland, DAVID LOISEAU discovered fighting as an escape from adversity. DAVID LOISEAU brings a high-volume striking attack to every fight, throwing over 4.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
DAVID MITCHELL,"Hailing from a small town, DAVID MITCHELL grew up competing in underground circuits before making it to the big stage. DAVID MITCHELL brings a high-volume striking attack to every fight, throwing over 5.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DAVID ONAMA,"Hailing from a small town, DAVID ONAMA grew up competing in underground circuits before making it to the big stage. DAVID ONAMA brings a high-volume striking attack to every fight, throwing over 12.3 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DAVID TEYMUR,"With roots in their homeland, DAVID TEYMUR defied expectations to become a force in the octagon. DAVID TEYMUR brings a high-volume striking attack to every fight, throwing over 19.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DAVID ZAWADA,"Born in the tough streets of their homeland, DAVID ZAWADA discovered fighting as an escape from adversity. DAVID ZAWADA brings a high-volume striking attack to every fight, throwing over 10.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DEAN LISTER,"From humble origins, DEAN LISTER earned every opportunity on their journey to the UFC. DEAN LISTER excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 32% control time and 12% takedown accuracy, suffocating opponents with pressure and technique.",8,
DEIVESON FIGUEIREDO,"From humble origins, DEIVESON FIGUEIREDO earned every opportunity on their journey to the UFC. In the octagon, DEIVESON FIGUEIREDO is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 7.3 significant strikes per minute with deadly accuracy.",1,
DEMETRIOUS JOHNSON,"With roots in their homeland, DEMETRIOUS JOHNSON defied expectations to become a force in the octagon. As a versatile fighter, DEMETRIOUS JOHNSON maintains constant pressure with over 14.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
DEMIAN MAIA,"Born in the tough streets of their homeland, DEMIAN MAIA discovered fighting as an escape from adversity. In the octagon, DEMIAN MAIA is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 5.1 significant strikes per minute with deadly accuracy.",5,
DENIS TIULIULIN,"With roots in their homeland, DENIS TIULIULIN defied expectations to become a force in the octagon. DENIS TIULIULIN brings a high-volume striking attack to every fight, throwing over 7.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DENISE GOMES,"With roots in their homeland, DENISE GOMES defied expectations to become a force in the octagon. In the octagon, DENISE GOMES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 19.4 significant strikes per minute with deadly accuracy.",1,
DENNIS BERMUDEZ,"With roots in their homeland, DENNIS BERMUDEZ defied expectations to become a force in the octagon. DENNIS BERMUDEZ brings a high-volume striking attack to every fight, throwing over 14.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",5,
DENNIS HALLMAN,"From humble origins, DENNIS HALLMAN earned every opportunity on their journey to the UFC. DENNIS HALLMAN excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 74% control time and 38% takedown accuracy, suffocating opponents with pressure and technique.",3,
DENNIS SIVER,"Born in the tough streets of their homeland, DENNIS SIVER discovered fighting as an escape from adversity. DENNIS SIVER brings a high-volume striking attack to every fight, throwing over 10.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DEREK BRUNSON,"From humble origins, DEREK BRUNSON earned every opportunity on their journey to the UFC. DEREK BRUNSON brings a high-volume striking attack to every fight, throwing over 17.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DERON WINN,"From humble origins, DERON WINN earned every opportunity on their journey to the UFC. DERON WINN brings a high-volume striking attack to every fight, throwing over 15.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DERRICK LEWIS,"Born in the tough streets of their homeland, DERRICK LEWIS discovered fighting as an escape from adversity. In the octagon, DERRICK LEWIS is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 12.9 significant strikes per minute with deadly accuracy.",1,
DESMOND GREEN,"Born in the tough streets of their homeland, DESMOND GREEN discovered fighting as an escape from adversity. DESMOND GREEN brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DEVIN CLARK,"Born in the tough streets of their homeland, DEVIN CLARK discovered fighting as an escape from adversity. As a versatile fighter, DEVIN CLARK maintains constant pressure with over 8.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
DEVONTE SMITH,"With roots in their homeland, DEVONTE SMITH defied expectations to become a force in the octagon. As a versatile fighter, DEVONTE SMITH maintains constant pressure with over 9.3 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",2,
DHIEGO LIMA,"With roots in their homeland, DHIEGO LIMA defied expectations to become a force in the octagon. DHIEGO LIMA brings a high-volume striking attack to every fight, throwing over 7.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DIANA BELBITA,"Born in the tough streets of their homeland, DIANA BELBITA discovered fighting as an escape from adversity. DIANA BELBITA brings a high-volume striking attack to every fight, throwing over 15.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DIEGO BRANDAO,"With roots in their homeland, DIEGO BRANDAO defied expectations to become a force in the octagon. DIEGO BRANDAO brings a high-volume striking attack to every fight, throwing over 9.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
DIEGO FERREIRA,"With roots in their homeland, DIEGO FERREIRA defied expectations to become a force in the octagon. DIEGO FERREIRA brings a high-volume striking attack to every fight, throwing over 14.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DIEGO LOPES,"Hailing from a small town, DIEGO LOPES grew up competing in underground circuits before making it to the big stage. In the octagon, DIEGO LOPES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.8 significant strikes per minute with deadly accuracy.",1,
DIEGO NUNES,"Hailing from a small town, DIEGO NUNES grew up competing in underground circuits before making it to the big stage. DIEGO NUNES brings a high-volume striking attack to every fight, throwing over 8.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DIEGO SANCHEZ,"Hailing from a small town, DIEGO SANCHEZ grew up competing in underground circuits before making it to the big stage. DIEGO SANCHEZ brings a high-volume striking attack to every fight, throwing over 7.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DIN THOMAS,"From humble origins, DIN THOMAS earned every opportunity on their journey to the UFC. DIN THOMAS brings a high-volume striking attack to every fight, throwing over 4.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DOMINICK CRUZ,"Hailing from a small town, DOMINICK CRUZ grew up competing in underground circuits before making it to the big stage. DOMINICK CRUZ brings a high-volume striking attack to every fight, throwing over 19.8 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DOMINICK REYES,"Hailing from a small town, DOMINICK REYES grew up competing in underground circuits before making it to the big stage. As a versatile fighter, DOMINICK REYES maintains constant pressure with over 11.5 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",7,
DOMINIQUE STEELE,"Born in the tough streets of their homeland, DOMINIQUE STEELE discovered fighting as an escape from adversity. In the octagon, DOMINIQUE STEELE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 20.6 significant strikes per minute with deadly accuracy.",5,
DON FRYE,"Hailing from a small town, DON FRYE grew up competing in underground circuits before making it to the big stage. In the octagon, DON FRYE is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 5.0 significant strikes per minute with deadly accuracy.",1,
DON'TALE MAYES,"Born in the tough streets of their homeland, DON'TALE MAYES discovered fighting as an escape from adversity. DON'TALE MAYES brings a high-volume striking attack to every fight, throwing over 9.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DONALD CERRONE,"Born in the tough streets of their homeland, DONALD CERRONE discovered fighting as an escape from adversity. DONALD CERRONE brings a high-volume striking attack to every fight, throwing over 13.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DONG HYUN KIM,"With roots in their homeland, DONG HYUN KIM defied expectations to become a force in the octagon. In the octagon, DONG HYUN KIM is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 17.1 significant strikes per minute with deadly accuracy.",5,
DONG HYUN MA,"Born in the tough streets of their homeland, DONG HYUN MA discovered fighting as an escape from adversity. DONG HYUN MA brings a high-volume striking attack to every fight, throwing over 14.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DONGI YANG,"Born in the tough streets of their homeland, DONGI YANG discovered fighting as an escape from adversity. In the octagon, DONGI YANG is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 10.9 significant strikes per minute with deadly accuracy.",1,
DOOHO CHOI,"Hailing from a small town, DOOHO CHOI grew up competing in underground circuits before making it to the big stage. In the octagon, DOOHO CHOI is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 13.4 significant strikes per minute with deadly accuracy.",4,
DOUGLAS SILVA DE ANDRADE,"Hailing from a small town, DOUGLAS SILVA DE ANDRADE grew up competing in underground circuits before making it to the big stage. DOUGLAS SILVA DE ANDRADE brings a high-volume striking attack to every fight, throwing over 10.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DRAKKAR KLOSE,"With roots in their homeland, DRAKKAR KLOSE defied expectations to become a force in the octagon. As a versatile fighter, DRAKKAR KLOSE maintains constant pressure with over 22.9 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",3,
DREW DOBER,"Hailing from a small town, DREW DOBER grew up competing in underground circuits before making it to the big stage. DREW DOBER brings a high-volume striking attack to every fight, throwing over 12.4 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DREW FICKETT,"Born in the tough streets of their homeland, DREW FICKETT discovered fighting as an escape from adversity. DREW FICKETT brings a high-volume striking attack to every fight, throwing over 6.1 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
DREW MCFEDRIES,"From humble origins, DREW MCFEDRIES earned every opportunity on their journey to the UFC. In the octagon, DREW MCFEDRIES is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 8.4 significant strikes per minute with deadly accuracy.",2,
DRICUS DU PLESSIS,"Hailing from a small town, DRICUS DU PLESSIS grew up competing in underground circuits before making it to the big stage. As a versatile fighter, DRICUS DU PLESSIS maintains constant pressure with over 21.2 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",9,
DUANE LUDWIG,"From humble origins, DUANE LUDWIG earned every opportunity on their journey to the UFC. DUANE LUDWIG brings a high-volume striking attack to every fight, throwing over 8.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",4,
DUSKO TODOROVIC,"Hailing from a small town, DUSKO TODOROVIC grew up competing in underground circuits before making it to the big stage. In the octagon, DUSKO TODOROVIC is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 9.6 significant strikes per minute with deadly accuracy.",1,
DUSTIN HAZELETT,"With roots in their homeland, DUSTIN HAZELETT defied expectations to become a force in the octagon. DUSTIN HAZELETT brings a high-volume striking attack to every fight, throwing over 4.5 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DUSTIN JACOBY,"With roots in their homeland, DUSTIN JACOBY defied expectations to become a force in the octagon. DUSTIN JACOBY brings a high-volume striking attack to every fight, throwing over 13.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",0,
DUSTIN KIMURA,"From humble origins, DUSTIN KIMURA earned every opportunity on their journey to the UFC. DUSTIN KIMURA fights as a versatile fighter with a diverse striking arsenal, mixing punches and kicks effectively while maintaining distance and control.",4,
DUSTIN ORTIZ,"Hailing from a small town, DUSTIN ORTIZ grew up competing in underground circuits before making it to the big stage. DUSTIN ORTIZ brings a high-volume striking attack to every fight, throwing over 10.9 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",3,
DUSTIN PAGUE,"From humble origins, DUSTIN PAGUE earned every opportunity on their journey to the UFC. DUSTIN PAGUE excels as a versatile fighter with dominant grappling skills, controlling fights on the ground with 51% control time and 60% takedown accuracy, suffocating opponents with pressure and technique.",1,
DUSTIN POIRIER,"From humble origins, DUSTIN POIRIER earned every opportunity on their journey to the UFC. In the octagon, DUSTIN POIRIER is a versatile fighter who overwhelms opponents with a relentless barrage of precise head strikes, landing over 28.8 significant strikes per minute with deadly accuracy.",9,
DUSTIN STOLTZFUS,"With roots in their homeland, DUSTIN STOLTZFUS defied expectations to become a force in the octagon. DUSTIN STOLTZFUS brings a high-volume striking attack to every fight, throwing over 10.7 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",8,
DWIGHT GRANT,"From humble origins, DWIGHT GRANT earned every opportunity on their journey to the UFC. DWIGHT GRANT brings a high-volume striking attack to every fight, throwing over 8.2 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",2,
DYLAN ANDREWS,"From humble origins, DYLAN ANDREWS earned every opportunity on their journey to the UFC. As a versatile fighter, DYLAN ANDREWS maintains constant pressure with over 5.7 strikes per minute, mixing head, body, and leg attacks with remarkable accuracy.",0,
ED HERMAN,"Born in the tough streets of their homeland, ED HERMAN discovered fighting as an escape from adversity. ED HERMAN brings a high-volume striking attack to every fight, throwing over 13.6 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",1,
EDDIE ALVAREZ,"Hailing from a small town, EDDIE ALVAREZ grew up competing in underground circuits before making it to the big stage. EDDIE ALVAREZ brings a high-volume striking attack to every fight, throwing over 12.0 strikes per minute as a versatile fighter, overwhelming opponents with relentless pressure and volume.",7,
